职位ID,职位名称,部门,产品线,工作地点,学历要求,工作经验,招聘人数,职位类型,岗位职责,任职要求
66391,局内负责人（Blood Strike）,荒野事业部,网易游戏（互娱）,上海市,不限,不限,1,游戏策划,"1.参与设计游戏中的各种功能和玩法，协同程序、美术和测试等相关团队完成游戏开发；
2.根据整体规划的要求，负责游戏内画面表现、动态效果、关卡编辑、战斗体验、活动玩法等诸多内容的设计和执行。","1.2~5年游戏策划经验，熟练掌握整个游戏产品开发工作流程，对程序和美术的工作有一定了解；
2.热爱动作类、竞技类游戏，有丰富的动作类、竞技类游戏经历；
3.具有优秀的沟通能力和团队协作能力，富有工作激情和责任感，抗压能力强；
4.具备丰富的想象力与创造力，以及严密的逻辑思维能力，善于规则设计。"
73273,运营策划-BloodStrike（商业化方向）,荒野事业部,网易游戏（互娱）,上海市,不限,不限,1,游戏策划,"1、负责《BloodStrike》全球商业化体系搭建与优化，聚焦英雄皮肤、武器定制、通行证、限定道具等核心付费模块，设计兼具差异化与吸引力的付费内容，提升付费渗透率与ARPU值。
2、针对东南亚、拉美、北美等不同区域市场特性，策划本地化商业化活动（限时折扣、版本专属礼包、KOL联动福利等），制定用户分层付费策略，适配不同市场付费习惯，驱动区域营收增长。
3、跟踪全球及各区域商业化数据表现，深度分析下载量、付费率、用户生命周期价值（LTV）等核心指标，挖掘低付费市场变现潜力，输出数据驱动的优化方案并推动落地迭代。
4、协同战斗、美术团队，平衡付费内容与竞技公平性，确保皮肤、道具等付费内容不影响核心战斗体验，同时强化视觉表现力与收藏价值，提升用户付费意愿。
5、联动海外运营、市场团队，配合买量素材、KOL合作等推广动作，同步商业化活动节奏，形成“推广-转化-留存”闭环，支撑产品长线商业化目标达成，沉淀全球化商业化运营方法论。","1、本科及以上学历，2年以上手游商业化运营/策划经验，有FPS或战术竞技类游戏商业化落地案例，熟悉手游内购变现核心逻辑。
2、具备敏锐的市场洞察力与用户付费心理把控力，能结合产品特性设计商业化体系，兼顾趣味性、公平性与变现效率。
3、擅长数据分析，熟练使用Excel、SQL等工具，能基于数据拆解问题、优化策略，具备完整的商业化活动复盘能力。
4、沟通协调能力强，能高效联动跨部门及海外协作团队推进需求落地，抗压性好，热爱FPS游戏，对出海游戏市场有基本认知。
加分项
有出海手游商业化运营经验，熟悉东南亚、拉美市场用户付费习惯及合规要求者优先。
深入了解《MLBB》《PUBGM》《Free Fire》等产品的商业化体系，有英雄射击品类商业化经验者优先。
具备本地化商业化策划能力，能结合区域文化、节日热点设计针对性活动，驱动区域营收增长者优先。
参与过千万级下载量产品商业化从0到1或从1到N的迭代过程，有付费率、ARPU值提升成功案例者优先。"
73274,运营策划-BloodStrike（活跃活动方向）,荒野事业部,网易游戏（互娱）,上海市,不限,不限,1,游戏策划,"1、负责《BloodStrike》全球用户活跃活动全生命周期运营，涵盖日常任务、周常挑战、版本主题活动及节假日专属活动，结合FPS强竞技属性设计趣味玩法与分层激励体系，核心提升日活、7日留存及用户在线时长，筑牢用户基本盘。
2、聚焦东南亚、拉美等核心区域，开展本地化活动策划，深度结合当地文化节日（如巴西狂欢节、东南亚开斋节）、电竞氛围及玩家行为偏好，定制差异化活动内容，规避文化禁忌，精准激活区域用户活力。
3、联动海外市场与KOL团队，策划主播联动活动、线上迷你赛事、UGC征集等内容，借助头部达人势能撬动公域流量，实现“活动引流-用户转化-留存沉淀”闭环，强化产品区域影响力。
4、建立全球及区域活动数据监控体系，深度分析活动参与率、留存率、分享率、任务完成率等核心指标，快速定位体验痛点与优化空间，输出数据驱动的复盘报告与迭代方案，持续提升活动效果。
5、协同战斗、美术、海外运营及多语言团队，保障活动玩法开发落地、视觉素材产出、多语言适配及客服响应，平衡活动趣味性与核心竞技公平性，确保全球用户获得流畅一致的活动体验，沉淀全球化活跃运营方法论。","1、本科及以上学历，2年以上手游活跃活动运营/策划经验，拥有FPS或战术竞技类游戏活动落地案例，熟悉手游活跃运营核心逻辑与玩法设计思路。
2、具备优秀的活动创意能力与文案功底，能精准洞察竞技类游戏用户心理，结合产品特性设计兼具吸引力与可行性的活动方案，兼顾普适性与区域差异化。
3、擅长数据分析，熟练使用Excel、SQL等工具，能独立完成数据统计、归因分析与活动复盘，基于数据提出可落地的优化策略，驱动核心活跃指标提升。
4、沟通协调能力强，能高效联动跨部门及海外协作团队推进需求落地，抗压性好，热爱FPS游戏，对出海游戏市场及核心区域用户特征有基本认知。
加分项
有出海手游活跃运营经验，深入熟悉东南亚、拉美市场的用户偏好、文化禁忌及运营规则，有成功本地化活动案例者优先。
深入了解《MLBB》《Free Fire》《PUBGM》等竞品的活跃活动体系，有FPS品类KOL联动、电竞衍生活动策划经验者优先。
具备跨区域活动统筹能力，能同时推进多区域活动落地，灵活调整策略适配不同市场，实现整体活跃指标增长者优先。
参与过千万级下载量产品活跃活动从0到1或从1到N的迭代，有明确的DAU、留存率提升成功案例者优先。"
73275,系统策划（海外大DAU射击-BloodStrike）,荒野事业部,网易游戏（互娱）,上海市,不限,不限,1,游戏策划,"1、主导《BloodStrike》核心系统的全生命周期设计，涵盖匹配对战、赛季通行证、社交联动、任务成就等模块，搭建逻辑严谨、体验流畅的系统体系，兼顾FPS竞技公平性与玩法趣味性。
2、结合不同区域市场特性（用户习惯、设备性能、合规要求），优化系统功能与交互设计，实现“全球化体验统一+本地化适配精准”，规避运营风险，提升跨区域用户接受度。
3、输出高标准设计文档（PRD）、逻辑流程图及原型方案，明确功能边界与验收标准，联动研发团队高效推进开发落地，全程跟进进度、解决逻辑漏洞，确保系统高质量上线。
4、协同战斗、运营团队，实现系统与核心竞技玩法、商业化/活跃活动的深度联动，优化跨系统逻辑闭环，同时基于用户反馈与数据表现，快速迭代系统功能，持续提升用户粘性。
5、跟踪竞品系统动态与行业趋势，结合项目长线目标，规划版本系统迭代路线图，沉淀全球化FPS游戏系统设计方法论，赋能产品持续破圈。","1、本科及以上学历，2年以上手游系统策划经验，拥有FPS/战术竞技类游戏核心系统设计落地案例，熟悉手游研发全流程。
2、逻辑思维缜密，具备出色的文档撰写与原型设计能力，能精准把控系统功能边界、交互体验与技术可行性，兼顾细节与全局。
3、深度理解FPS游戏核心玩法，能平衡竞技公平性与用户体验，具备基于数据、用户反馈及竞品分析优化系统的能力。
4、跨部门沟通协调能力强，能高效联动研发、海外团队推进需求落地，抗压性好，热爱出海游戏，对全球FPS赛道有敏锐洞察。
加分项
有出海手游系统策划经验，熟悉东南亚、拉美市场用户偏好及合规规则，有本地化系统适配成功案例者优先。
深入研究《MLBB》《Free Fire》《PUBGM》等竞品系统，有匹配对战、赛季通行证等核心模块独立设计经验者优先。
熟练使用Axure、Visio等原型/流程图工具，具备基础数据分析能力，能通过数据驱动系统迭代优化者优先。
参与过千万级下载量产品系统从0到1搭建或从1到N迭代，有明确的用户体验及核心指标提升案例者优先。"
73276,关卡策划-BloodStrike,荒野事业部,网易游戏（互娱）,上海市,不限,不限,1,游戏策划,"1、依托过往FPS/战术竞技项目经验，主导《BloodStrike》竞技地图及特色关卡的全生命周期设计，涵盖地形架构、战术点位规划、资源梯度配置、掩体逻辑设计，搭建兼具公平性与策略性的关卡体系，适配核心对战玩法。
2、结合东南亚、拉美区域特性，基于项目落地经验优化关卡细节，兼顾不同设备性能、用户操作习惯与文化禁忌，确保关卡在全球市场的普适性与体验一致性，规避上线风险。
3、输出标准化关卡设计文档、地形原型图及资源配置方案，凭借项目实战能力高效联动美术团队定义场景视觉风格，协同研发团队解决碰撞、卡点等技术问题，保障关卡高质量按期上线。
4、基于过往关卡调优经验，协同战斗策划适配枪械、载具玩法，通过分析玩家对战路径、点位热度等数据，迭代地形布局与资源分布，解决关卡失衡、体验单一等痛点。
5、结合行业竞品关卡动态与自身项目沉淀，规划版本关卡迭代路线图，输出可落地的创新关卡玩法方案，沉淀全球化FPS关卡设计方法论，支撑产品长线竞争力。","1、本科及以上学历，2年及以上手游关卡策划实战经验，拥有完整的FPS/战术竞技类游戏关卡设计落地案例，熟悉手游关卡研发全流程（从原型到上线调优）。
2、具备扎实的空间思维与创意能力，有独立完成单张竞技地图或核心关卡模块的项目经验，能精准把控地形、战术、资源的平衡关系。
3、深度理解FPS战术竞技核心逻辑，有基于项目数据、玩家反馈优化关卡的实战经历，能快速定位关卡体验问题并输出可落地的调优方案。
4、沟通协调能力强，有跨部门（美术、研发、战斗策划）协同推进关卡落地的项目经验，抗压性好，热爱出海游戏，对全球FPS赛道有敏锐洞察。"
73277,战斗策划-BloodStrike（枪械、角色方向）,荒野事业部,网易游戏（互娱）,上海市,不限,不限,1,游戏策划,"1、依托FPS/战术竞技项目经验，主导《BloodStrike》全品类枪械战斗设计，涵盖伤害、后坐力、弹道衰减、射速、配件适配等核心数值，搭建科学平衡的枪械模型，同时优化枪械打击反馈与操作手感，适配移动端操作特性与全球玩家习惯。
2、负责英雄角色（Striker）战斗体系设计，结合角色定位（刺客、支援、控场等）打造差异化主动/被动技能，明确技能释放逻辑、冷却机制、数值效果与战术价值，确保角色间平衡且具备独特玩法，如隐身突袭、区域控制、团队增益等战术能力的落地。
3、基于过往战斗调优经验，结合东南亚、拉美市场用户偏好与设备性能，迭代枪械与角色数值，解决战斗失衡、手感适配等问题，同时规避文化禁忌，保障全球版本战斗体验的一致性与公平性。
4、协同动作、特效、音效团队，定义枪械射击反馈、角色技能表现与受击体感，打磨沉浸式战斗体验；联动关卡、运营团队，确保枪械/角色设计与地图场景、版本活动深度适配，形成玩法闭环。
5、跟踪上线后战斗数据（枪械使用率、角色胜率、技能触发率等）、玩家反馈及竞品动态，基于项目沉淀输出可落地的调优方案，规划版本战斗内容迭代路线图，沉淀全球化FPS英雄战术类游戏战斗设计方法论。","1、本科及以上学历，2年及以上手游战斗策划实战经验，拥有完整的FPS/战术竞技类游戏枪械或角色设计落地案例，熟悉手游战斗研发全流程（从设计到上线调优）。
2、具备扎实的数值平衡能力与逻辑思维，有独立完成枪械数值建模或角色技能机制设计的项目经验，能精准把控战斗公平性与玩法趣味性的平衡关系。
3、深度理解FPS战斗核心逻辑，对枪械打击感、角色技能节奏有敏锐洞察，有基于项目数据、玩家反馈优化战斗体验的实战经历，能快速定位问题并输出可落地的调优方案。
4、沟通协调能力强，有跨部门（动作、美术、研发）协同推进战斗内容落地的项目经验，抗压性好，热爱出海游戏，对全球FPS及英雄战术类赛道有深入认知。
加分项
有出海手游战斗策划项目经验，熟悉东南亚、拉美市场用户战斗偏好，具备本地化战斗数值适配及落地复盘案例者优先。
深入研究《Free Fire》《Apex》等竞品，有英雄战术类FPS枪械/角色独立设计、上线及数据优化的完整项目履历者优先。
具备动作设计或物理逻辑认知，能辅助优化枪械弹道、角色技能碰撞判定及受击反馈，或熟练使用Excel、战斗编辑器进行数值配置与原型验证者优先。"
73278,玩法策划-BloodStrike,荒野事业部,网易游戏（互娱）,上海市,不限,不限,1,游戏策划,"1、主导《BloodStrike》核心玩法体系设计与创新，聚焦英雄战术竞技属性，研发特色玩法，搭建“英雄技能+枪械对抗+战术配合”的三维玩法框架，兼顾竞技公平性与用户趣味性。
2、深度结合英雄角色定位、枪械特性及关卡场景，设计玩法联动机制，明确各模块交互逻辑，强化战术多样性，确保新玩法与现有体系无缝衔接，形成完整玩法闭环。
3、针对东南亚、拉美等核心出海市场，结合区域用户偏好、设备性能及文化禁忌，优化玩法规则、难度梯度与操作适配，实现“全球化玩法统一+本地化体验精准”，规避发行风险。
4、输出标准化玩法设计文档（PRD）、逻辑流程图及原型方案，联动研发、美术、战斗团队推进玩法开发落地，跟踪开发进度，解决逻辑漏洞与体验痛点，确保玩法高质量按期上线。
5、建立玩法数据监控体系，分析上线后参与率、留存率、胜率分布、用户反馈等核心指标，结合竞品动态与行业趋势，迭代优化玩法内容，规划版本玩法路线图，沉淀全球化英雄战术FPS玩法设计方法论。","1、本科及以上学历，2年及以上手游玩法策划实战经验，拥有FPS/战术竞技类游戏完整玩法设计落地案例，熟悉手游研发全流程（从创意到上线迭代）。
2、具备出色的创意能力与逻辑思维，能独立完成核心玩法或特色玩法模块的设计与落地，精准把控玩法节奏、用户心理与技术可行性的平衡。
3、深度理解英雄战术类FPS游戏核心逻辑，对玩法创新有敏锐嗅觉，有基于数据与用户反馈优化玩法体验的实战经历，能快速定位问题并输出可落地方案。
4、跨部门沟通协调能力强，能高效联动研发、战斗、关卡等团队推进需求落地，抗压性好，热爱出海游戏，对全球FPS玩法赛道有深入认知。"
73554,海外社媒营销（BloodStrike）,荒野事业部,网易游戏（互娱）,上海市,本科,3-5年,1,市场渠道,"1、全球社媒策略制定
制定全球社交媒体营销策略（Facebook/Instagram/TikTok/Discord等），提升品牌影响力与社区活跃。
监测社媒数据，基于数据优化内容策略
2、动漫IP联动版本营销
整合资源、策划创意活动，实现流量互通与转化目标。","1. 本科及以上学历，英语可作为工作语言，具备小语种能力加分（西语、葡语）；
2. 逻辑思维和沟通能力强，熟悉Facebook、YouTube，tiktok，Twitch等平台社媒生态；
3. 动漫爱好者，有IP联动经验加分
4. 具备3年左右的海外游戏，有拉美市场工作经验加分。"
74920,资深创意素材营销（Blood Strike）,荒野事业部,网易游戏（互娱）,上海市,本科,3-5年,1,市场渠道,"1. 统筹全渠道营销素材的策划、制作与交付，包括海报、Banner、短视频封面、信息图等，确保风格统一、节奏可控、上线及时。  
2. 基于品牌调性与用户洞察，独立完成视觉创意构思与审美判断，对色彩、构图、字体、版式等要素具备专业把控力。  
3. 熟练运用主流AI设计工具（如MidJourney、DALL·E、Adobe Firefly、即梦等）高效生成高质量初稿，并能精准调优提示词与参数。  
4. 具备AI生成内容的筛选、精修与落地能力，可结合PS、AI等传统设计软件完成细节优化与商业适配。  
5. 协同市场、运营、文案团队快速响应热点与活动需求，支持A/B测试素材产出及数据反馈迭代。  
6. 持续跟踪AI设计趋势与工具演进，沉淀提示词库、模板库及提效方法论，推动团队素材生产效能提升。","1. 本科及以上学历，视觉传达、数字媒体、广告设计或相关专业优先。  
2. 至少3年营销类视觉设计经验，独立主导过品牌推广、社交媒体或电商场景的素材统筹与落地项目。  
3. 熟练掌握Photoshop、Illustrator、Figma等主流设计工具，具备高质量海报、Banner、短视频封面及信息图的输出能力。  
4. 深度熟悉主流AI图像/视频生成工具（如MidJourney、DALL·E、Runway等），能高效结合AI完成创意探索、草图生成、风格迭代与批量优化。  
5. 具备敏锐的视觉审美与内容判断力，能准确把握品牌调性、用户心智及平台传播特性，对素材点击率、转化效果有数据敏感度。  
6. 具备跨部门协同意识与项目推动力，能高效对接运营、文案与投放团队，逻辑清晰、响应迅速，有A/B测试经验或小红书/抖音等平台原生素材成功案例者优先。"
75086,内容营销（Blood strike）,荒野事业部,网易游戏（互娱）,上海市,不限,不限,1,市场渠道,1. 统筹全渠道营销素材的策划、制作与交付，包括海报、Banner、短视频封面、信息图等，确保风格统一、节奏可控、上线及时。 2. 基于品牌调性与用户洞察，独立完成视觉创意构思与审美判断，对色彩、构图、字体、版式等要素具备专业把控力。 3. 熟练运用主流AI设计工具（如MidJourney、DALL·E、Adobe Firefly、即梦等）高效生成高质量初稿，并能精准调优提示词与参数。 4. 具备AI生成内容的筛选、精修与落地能力，可结合PS、AI等传统设计软件完成细节优化与商业适配。 5. 协同市场、运营、文案团队快速响应热点与活动需求，支持A/B测试素材产出及数据反馈迭代。 6. 持续跟踪AI设计趋势与工具演进，沉淀提示词库、模板库及提效方法论，推动团队素材生产效能提升。,1. 本科及以上学历，视觉传达、数字媒体、广告设计或相关专业优先。 2. 至少3年营销类视觉设计经验，独立主导过品牌推广、社交媒体或电商场景的素材统筹与落地项目。 3. 熟练掌握Photoshop、Illustrator、Figma等主流设计工具，具备高质量海报、Banner、短视频封面及信息图的输出能力。 4. 深度熟悉主流AI图像/视频生成工具（如MidJourney、DALL·E、Runway等），能高效结合AI完成创意探索、草图生成、风格迭代与批量优化。 5. 具备敏锐的视觉审美与内容判断力，能准确把握品牌调性、用户心智及平台传播特性，对素材点击率、转化效果有数据敏感度。 6. 具备跨部门协同意识与项目推动力，能高效对接运营、文案与投放团队，逻辑清晰、响应迅速，有A/B测试经验或小红书/抖音等平台原生素材成功案例者优先。
